# h5-shell-pipeline task ledger — single source of truth for the current run
# batchId: TEST-0717
# apps: Palioy（色彩猎人）· Somaoo（观星星图）· Nureoo（故事主角卡）· Taluoo（家庭任务榜）· Meloyy（球鞋图鉴）· +7 待命名（行6-12）
# brief: 行1-5 已产包；行6-12 自拟主题已 compose，待 task-name / task-fill
应用主名称,全称,状态管理,架构模式,命名混淆规则,协议风格,隐私文件,仓库地址,首个商品Code,编程风格,应用类型,主题编号,中文主题,赛道分类,目标人群,核心场景,本地功能,productFlow,webviewEngine,bridgeCallStyle,bridgeCallbackStyle,bridgeEnvelope,mediaServe,bridgeErrorCode,bridgeInjectTiming,kitAtomSet,kitCssMethodology,kitAtomGranularity,kitDomShape,kitJsPattern,kitJsNamespace,kitStorageAdapter,kitMotionApproach,h5StateModel,h5RouterPattern,h5ScreenPattern
Palioy,Palioy - Vivid & Hunt,GetX,MVVM,元音桥接策略,风格1,1号,https://codeup.aliyun.com/6366640f0cd435624679b545/linlin/Palioy-Swift.git,Pigment00,英国人,h5_swift_shell,B0717-04,色彩猎人,效率工具,目标用户,色彩猎人,本地颜色图鉴加通关评分,Land on a 色彩猎人 dashboard with KPI tiles for 目标用户; tap a metric to drill into one 本地颜色图鉴加通关评分 record; adjust values inline; snapshot the dashboard as a share card when review is complete.,wkwebview_swift,custom URL scheme intercept (app-bridge://),URL scheme callback (app-callback://),"{action,data} minimal",custom scheme handler (app-asset://),HTTP-like (400/403/500),bundled bridge.js in main bundle preload,btn/input/chip/card/appbar/modal,OOCSS,composite-first-7,text-only,class-based,{Prefix}.ui.*,proxy-auto-persist,raf-helper,centralized-store,hash-router,controller-view
Somaoo,Somaoo - Cosmic & Gaze,SetState,MVC,辅音核心策略,风格2,2号,https://codeup.aliyun.com/6366640f0cd435624679b545/linlin/Somaoo-Swift.git,Astro00,法国人,h5_swift_shell,B0717-05,观星星图,效率工具,目标用户,观星星图,本地观测周期提醒与打卡评分,Scroll a horizontal timeline of 观星星图 chapters; add notes per chapter in 本地观测周期提醒与打卡评分; jump to a chapter detail; export a date-range story card for 目标用户.,wkwebview_swift,postMessage + CustomEvent bridgeReady,callbackId Map + evaluateJavaScript,"{action,data} minimal",readFile Bridge base64 inline,numeric codes (0/-1/-2),bundled bridge.js in main bundle preload,press/entry/pill/panel/header/overlay,BEM,composite-first-7,text-only,tiny-reactive-proxy,{prefix}_kit.*,proxy-auto-persist,web-animations-api,centralized-store,hash-router,template-clone
Nureoo,Nureoo - Playful & Tale,Provider,MVP,倒序声母策略,风格3,3号,https://codeup.aliyun.com/6366640f0cd435624679b545/linlin/Nureoo-Swift.git,Fable00,德国人,h5_swift_shell,B0717-06,故事主角卡,效率工具,目标用户,故事主角卡,沉淀亲子故事与评分,Scroll a horizontal timeline of 故事主角卡 chapters; add notes per chapter in 沉淀亲子故事与评分; jump to a chapter detail; export a date-range story card for 目标用户.,wkwebview_swift,WKUserContentController named handler + JSON body,injected JS dispatchEvent(NativeReply),method+args split fields,custom scheme handler (app-asset://),string enum (PERMISSION_DENIED),WKUserScript atDocumentEnd,action/field/tag/tile/topbar/dialog,Utility-first,atomic-heavy-30,text-only,class-based,{Prefix}.ui.*,wrapper-store,web-animations-api,event-bus-driven,single-page-panels,component-instance
Taluoo,Taluoo - Cheerful & Quest,Bloc,VIPER,双随机首段策略,风格1,1号,https://codeup.aliyun.com/6366640f0cd435624679b545/linlin/Taluoo-Swift.git,Chore00,美国人,h5_swift_shell,B0717-07,家庭任务榜,效率工具,目标用户,家庭任务榜,本地按成员场景累计家庭积分与到期,Open a session checklist for 家庭任务榜; tick lines with budget caps in 本地按成员场景累计家庭积分与到期; attach a photo per line; finish with a session report; optional weekly rollup for 目标用户.,wkwebview_swift,window.webkit.messageHandlers.{prefix}.postMessage(JSON),URL scheme callback (app-callback://),"RPC {jsonrpc,method,params,id}",loadFileURL bundle resource,string enum (PERMISSION_DENIED),WKUserScript atDocumentStart,press/entry/pill/panel/header/overlay,SUIT,atomic-heavy-30,text-only,tiny-reactive-proxy,{Prefix}.ui.*,proxy-auto-persist,transition-only,imperative-dom,single-page-panels,template-clone
Meloyy,Meloyy - Iconic & Kick,MobX,MVVM,元辅伪词策略,风格2,2号,https://codeup.aliyun.com/6366640f0cd435624679b545/linlin/Meloyy-Swift.git,Kicks00,日本人,h5_swift_shell,B0717-08,球鞋图鉴,效率工具,目标用户,球鞋图鉴,沉淀藏品与补货提醒,Import or paste a script for 球鞋图鉴; map sections to time budgets in a wizard pipeline; run time-mapped auto-scroll teleprompter with live pace monitoring and structural overtime alerts (沉淀藏品与补货提醒); attach reference slides; log rehearsal notes; export a rhythm summary card; review past runs by course or date for 目标用户.,wkwebview_swift,custom URL scheme intercept (app-bridge://),callAsyncJavaScript Promise resolve (iOS 14+),"{action,data} minimal",readFile Bridge base64 inline,string enum (PERMISSION_DENIED),bundled bridge.js in main bundle preload,tap/type/mark/cell/bar/veil,BEM,mid-level-14,text-only,functional-pipe,{Prefix}.notify.*,raw-localStorage,no-motion,imperative-dom,modal-stack,functional-render
,,,,,,,,,,,,家务转盘,效率工具,家庭,家务转盘,成员场景家务积分评分,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,宝宝里程碑,效率工具,陪读家长,宝宝里程碑,亲子家长成长周期档案评分,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,藏书阁,效率工具,阅读爱好,藏书阁,阅读场景有声书摘评分,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,魔术入门册,效率工具,魔术爱好,魔术入门册,招式步骤入门进度评分,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,宠物召唤,效率工具,宠物主人,宠物召唤,互动场景回头率评分档案,,,,,,,,,,,,,,,,,,,
